icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,price
7c6db9,QFA888,Australia,1767007114.0,1767007114,135.8505,-34.8234,11887.2,False,285.19,94.03,-0.33,,12329.16,,False,0,313.23392507234854
e48fb4,GLO1427,Brazil,1767007114.0,1767007114,-46.6036,-23.8926,2065.02,False,123.79,148.42,-2.6,,2179.32,,False,0,114.1976139065872
8830ea,TLM789,Thailand,1767007114.0,1767007114,100.4483,13.9877,2735.58,False,142.64,46.46,-10.08,,2842.26,,False,0,171.88421338573943
847517,NCA108,Japan,1767007113.0,1767007113,141.0242,35.4067,4244.34,False,235.31,102.24,11.38,,4282.44,,False,0,208.07177672092803
841ebc,JJP116,Japan,1767007114.0,1767007114,141.7347,42.0633,6705.6,False,179.69,186.58,6.83,,6469.38,,False,0,161.08540907971926
8830f7,,Thailand,1767007076.0,1767007076,96.0452,17.8191,11277.6,False,254.21,137.79,0.0,,,,False,0,
8830f1,TLM8111,Thailand,1767007113.0,1767007113,105.9139,21.7118,10972.8,False,198.8,232.36,0.0,,11574.78,,False,0,254.44123628092157
7810d6,CQH7301,China,1767007113.0,1767007114,114.2531,22.8169,9174.48,False,198.27,263.59,0.0,,9692.64,,False,0,244.25073435391678
75006f,XAX212,Malaysia,1767007113.0,1767007114,140.0029,-35.2427,12496.8,False,289.73,117.84,0.0,,13022.58,,False,0,331.7304066113803
394edb,FPMIN,France,1767007113.0,1767007113,1.2474,43.4552,198.12,False,31.3,115.3,-1.95,,304.8,,False,0,72.50799359558134
e49764,TAM4712,Brazil,1767007113.0,1767007114,-46.3397,-23.2299,2125.98,False,112.72,88.17,-1.3,,2255.52,,False,0,143.10423634278078
4baa55,THY3WH,Turkey,1767007114.0,1767007114,30.8007,40.5209,9334.5,False,265.85,101.72,2.93,,9113.52,,False,0,265.35047258860317
a31a7b,UAL181,United States,1767007113.0,1767007113,3.5615,51.6307,10363.2,False,234.61,270.75,0.0,,10462.26,0120,False,0,282.1897159635216
3c0ac5,CFG7ME,Germany,1767006768.0,1767006804,-9.8483,36.193,10652.76,False,223.78,216.87,0.33,,10797.54,3704,False,0,264.67446644832165
4baa53,THY6QL,Turkey,1767007114.0,1767007114,6.11,50.2309,7559.04,False,231.99,108.76,7.8,,7688.58,0107,False,0,257.6570096177501
c05007,ACA1316,Canada,1767007114.0,1767007114,-87.8898,22.0787,6210.3,False,193.31,137.26,-10.4,,6545.58,,False,0,224.41814968026105
3c0ac7,CFG7TF,Germany,1767006763.0,1767006870,-12.1187,38.4124,10668.0,False,224.31,214.35,0.0,,10797.54,3701,False,0,251.4216259591081
a9a746,N721AC,United States,1767007100.0,1767007100,10.7141,44.7226,0.0,False,54.06,351.79,2.28,,960.12,,False,0,108.35084232350064
4baa50,THY30R,Turkey,1767007113.0,1767007113,22.1584,43.5943,10363.2,False,204.1,295.53,-0.33,,10340.34,6052,False,0,244.73413109771906
a21fa1,RPA5873,United States,1767007114.0,1767007114,-78.1833,39.1187,5303.52,False,207.92,107.72,0.33,,5303.52,4124,False,0,223.15635596562288
3c743a,TUI5PW,Germany,1767007113.0,1767007114,25.3751,39.5821,10668.0,False,252.69,162.71,0.0,,10668.0,7410,False,0,290.3707462680268
4bb141,THY8,Turkey,1767007098.0,1767007113,24.8801,43.2122,10668.0,False,288.87,139.19,0.0,,10553.7,2216,False,0,336.73567353590244
a93d4e,PDT5865,United States,1767007114.0,1767007114,-77.3405,40.4839,4724.4,False,173.7,130.44,-3.25,,4648.2,,False,0,178.86268035256296
7c4a79,SH129,Australia,1767007114.0,1767007114,152.2418,-26.2004,5181.6,False,121.14,139.48,0.0,,5501.64,,False,0,158.60006407763603
7c4a4a,JST044,Australia,1767007114.0,1767007114,138.3028,-34.8241,10675.62,False,261.68,123.94,0.0,,11140.44,,False,0,291.85600788224536
8963f0,UAE7TR,United Arab Emirates,1767007059.0,1767007113,54.2103,25.5519,6515.1,False,196.36,288.01,6.5,,6675.12,0532,False,0,208.8676043433145
4067bc,GMOLA,United Kingdom,1767007113.0,1767007113,-0.9367,51.578,472.44,False,38.74,190.71,0.0,,609.6,5023,False,0,91.46483803884101
501e83,CTN71F,Croatia,1767007114.0,1767007114,7.377,47.9723,10066.02,False,234.06,111.26,0.0,,10195.56,1000,False,0,236.65938783126822
489227,ENT1878,Poland,1767007112.0,1767007112,50.7941,26.7548,10972.8,False,175.41,289.71,-0.33,,11361.42,1752,False,0,230.2455516170729
c05030,ACA985,Canada,1767007112.0,1767007113,-77.8119,32.6869,10668.0,False,229.01,353.16,0.0,,11049.0,,False,0,253.63894156841616
4bb107,THY800,Turkey,1767007112.0,1767007113,18.6147,43.8033,12504.42,False,255.41,103.87,-0.33,,12458.7,1742,False,0,321.2981518394715
8963df,UAE163,United Arab Emirates,1767007106.0,1767007111,55.0444,26.7313,9753.6,False,214.11,308.66,0.0,,10088.88,0542,False,0,292.15606745163853
aa7e7d,UAL467,United States,1767007114.0,1767007114,-95.122,30.0629,1165.86,False,128.5,158.88,-4.88,,1242.06,4003,False,0,124.58161562925058
8963eb,UAE34Y,United Arab Emirates,1767007114.0,1767007114,-1.4196,52.7806,5021.58,False,188.25,321.66,-16.91,,5189.22,3241,False,0,192.64076553619978
8963ea,UAE8ER,United Arab Emirates,1767007044.0,1767007081,-64.9447,48.1864,12199.62,False,233.61,223.57,0.33,,12001.5,3133,False,0,288.2210432622636
8963ee,UAE6AQ,United Arab Emirates,1767007114.0,1767007114,11.8692,51.3065,11887.2,False,277.7,108.47,0.0,,11833.86,4707,False,0,330.4261660521638
7810f6,CHH470,China,1767007114.0,1767007114,10.7082,53.6523,11277.6,False,251.22,49.98,-0.33,,11178.54,7123,False,0,268.8483373161885
aa7238,UAL1735,United States,1767007113.0,1767007113,-118.5338,34.5311,11277.6,False,259.75,63.54,0.0,,11468.1,,False,0,299.3233796546957
c0502e,ACA992,Canada,1767007114.0,1767007114,-80.5754,43.3826,5196.84,False,245.76,62.31,-7.8,,4892.04,4201,False,0,241.3043525956486
8963ec,UAE73,United Arab Emirates,1767007113.0,1767007113,3.9087,48.3923,6233.16,False,204.23,321.34,-4.88,,6377.94,3222,False,0,225.9162833987969
c06357,PTR2372,Canada,1767007113.0,1767007113,-68.4429,45.9202,7315.2,False,133.36,262.46,0.0,,7269.48,3611,False,0,193.16643233197487
7810ee,UEA2288,China,1767007037.0,1767007037,124.2602,40.461,10515.6,False,237.54,175.03,4.55,,10126.98,,False,0,290.06072185134286
aa6b43,RPA3458,United States,1767007114.0,1767007114,-82.5009,40.7412,5699.76,False,234.25,29.32,8.45,,5494.02,4047,False,0,168.00055414001525
440b86,OEKDM,Austria,1767007113.0,1767007114,10.9276,45.3618,3909.06,False,63.28,90.47,-0.33,,4000.5,,False,0,135.20250639061817
8963d0,UAE3MV,United Arab Emirates,1767007114.0,1767007114,-4.0931,39.9494,11277.6,False,246.63,257.47,0.0,,11262.36,0532,False,0,272.8570863374515
4baa89,THY5UE,Turkey,1767007114.0,1767007114,15.9446,45.2762,10363.2,False,220.68,290.04,0.0,,10431.78,3203,False,0,228.04514206287087
